env_id,ALE/Breakout-v5
noise_type,framedrop
severity,5
episodes,10

episode,return,steps
1,3.0,172
2,4.0,171
3,4.0,172
4,0.0,25
5,6.0,220
6,4.0,170
7,2.0,122
8,2.0,86
9,2.0,122
10,3.0,152
mean,3.0,
