env_id,ALE/SpaceInvaders-v5
noise_type,occlusion
severity,5
episodes,10

episode,return,steps
1,255.0,436
2,225.0,426
3,490.0,841
4,45.0,141
5,355.0,633
6,170.0,361
7,300.0,519
8,420.0,313
9,245.0,403
10,210.0,328
mean,271.5,
