env_id,ALE/SpaceInvaders-v5
noise_type,blur
severity,1
episodes,10

episode,return,steps
1,200.0,378
2,270.0,511
3,105.0,235
4,270.0,506
5,270.0,512
6,270.0,505
7,270.0,507
8,200.0,380
9,270.0,511
10,270.0,506
mean,239.5,
