env_id,ALE/SpaceInvaders-v5
noise_type,blur
severity,3
episodes,10

episode,return,steps
1,0.0,170
2,15.0,476
3,0.0,170
4,15.0,471
5,15.0,477
6,15.0,470
7,15.0,472
8,0.0,172
9,15.0,476
10,15.0,471
mean,10.5,
