env_id,ALE/SpaceInvaders-v5
noise_type,gaussian
severity,3
episodes,10

episode,return,steps
1,55.0,479
2,155.0,471
3,30.0,344
4,65.0,358
5,0.0,144
6,15.0,338
7,20.0,154
8,30.0,180
9,75.0,362
10,45.0,337
mean,49.0,
