env_id,ALE/SpaceInvaders-v5
noise_type,framedrop
severity,4
episodes,10

episode,return,steps
1,130.0,260
2,275.0,498
3,490.0,770
4,545.0,860
5,390.0,500
6,200.0,297
7,260.0,449
8,525.0,829
9,380.0,402
10,195.0,294
mean,339.0,
