env_id,ALE/SpaceInvaders-v5
noise_type,pixelation
severity,5
episodes,10

episode,return,steps
1,0.0,170
2,0.0,174
3,0.0,170
4,0.0,169
5,0.0,175
6,0.0,168
7,0.0,170
8,0.0,172
9,0.0,174
10,0.0,169
mean,0.0,
