env_id,ALE/Enduro-v5
noise_type,occlusion
severity,3
episodes,10

episode,return,steps
1,118.0,3323
2,158.0,3327
3,188.0,3324
4,144.0,3322
5,386.0,6656
6,187.0,3321
7,190.0,3323
8,171.0,3325
9,131.0,3327
10,197.0,3322
mean,187.0,
