env_id,ALE/Enduro-v5
noise_type,pixelation
severity,3
episodes,10

episode,return,steps
1,46.0,3323
2,9.0,3327
3,57.0,3324
4,7.0,3322
5,18.0,3328
6,20.0,3321
7,64.0,3323
8,28.0,3325
9,9.0,3327
10,7.0,3322
mean,26.5,
