env_id,ALE/Enduro-v5
noise_type,blur
severity,1
episodes,10

episode,return,steps
1,497.0,6651
2,490.0,6655
3,751.0,9980
4,485.0,6650
5,731.0,9984
6,759.0,9977
7,491.0,6651
8,480.0,6653
9,490.0,6655
10,485.0,6650
mean,565.9,
