env_id,ALE/Enduro-v5
noise_type,pixelation
severity,1
episodes,10

episode,return,steps
1,105.0,3323
2,105.0,3327
3,110.0,3324
4,109.0,3322
5,143.0,3328
6,95.0,3321
7,47.0,3323
8,126.0,3325
9,105.0,3327
10,109.0,3322
mean,105.4,
