env_id,ALE/Enduro-v5
noise_type,occlusion
severity,1
episodes,10

episode,return,steps
1,499.0,6651
2,473.0,6655
3,476.0,6652
4,466.0,6650
5,720.0,9984
6,467.0,6649
7,447.0,6651
8,403.0,6653
9,442.0,6655
10,479.0,6650
mean,487.2,
