env_id,ALE/Enduro-v5
noise_type,blur
severity,4
episodes,10

episode,return,steps
1,16.0,3323
2,3.0,3327
3,2.0,3324
4,3.0,3322
5,3.0,3328
6,3.0,3321
7,3.0,3323
8,2.0,3325
9,3.0,3327
10,3.0,3322
mean,4.1,
