env_id,ALE/Enduro-v5
noise_type,gaussian
severity,4
episodes,10

episode,return,steps
1,194.0,3323
2,182.0,3327
3,189.0,3324
4,408.0,6650
5,378.0,6656
6,361.0,6649
7,160.0,3323
8,281.0,6653
9,461.0,6655
10,315.0,6650
mean,292.9,
