env_id,ALE/Enduro-v5
noise_type,occlusion
severity,4
episodes,10

episode,return,steps
1,141.0,3323
2,99.0,3327
3,146.0,3324
4,120.0,3322
5,92.0,3328
6,86.0,3321
7,98.0,3323
8,167.0,3325
9,157.0,3327
10,128.0,3322
mean,123.4,
