env_id,ALE/Enduro-v5
noise_type,saltpepper
severity,1
episodes,10

episode,return,steps
1,435.0,6651
2,493.0,6655
3,491.0,6652
4,421.0,6650
5,490.0,6656
6,397.0,6649
7,474.0,6651
8,470.0,6653
9,479.0,6655
10,422.0,6650
mean,457.2,
